layer,p
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,7.142857482124652e-05
8,2.3809525633363853e-05
9,0.0
10,7.142857482124652e-05
11,0.0
12,0.0021428572280066355
13,0.0013571429132883037
14,0.007500000397807786
15,0.04764285816677979
16,0.06978571707648891
17,0.07464286138669454
18,0.04128571692022628
19,0.03750000149011612
20,0.02292857212679727
21,0.023142858807529722
22,0.035009525555194286
23,0.01689523853045622
24,0.016214286293169216
25,0.022014286126899867
26,0.01974285757335435
27,0.04211428834657584
28,0.07012381391333682
29,0.09094286071402687
30,0.10455238553030151
31,0.16722381806799344
32,0.15979048503296717
33,0.1477761979081801
34,0.1543238184281758
35,0.14802857827661292
36,0.1434904855143811
37,0.14622381698739315
38,0.14505714999644884
39,0.1420714361260512
40,0.14243333958854368
41,0.14320476990126604
42,0.13918095945181058
43,0.1380428641236254
44,0.1368047708778509
45,0.13637143300314034
46,0.130404769409714
47,0.12342381211263793
48,0.11783334040748221
